Region;Dep;Commune;Porteur_projet;Projet;n°SES;Montant_op;Montant_acc;Objectifs
BOURGOGNE;21;Dijon;DFCO foot fauteuil;Acquisition d'un minibus aménagé pour le transport des personnes handicapées;13853;60 933 €;15 000 €;Acquisition de véhicules adaptés
BOURGOGNE;21;Nuits-Saint-Georges;Club Sportif Nuiton;Restructuration d'une salle d'entraînement et de musculation pour le rugby fauteuil;13485;253 920 €;50 000 €;Mise en accessibilité
BRETAGNE;22;Ploufragan;Comité Départemental Handisport Côtes d'Armor;Acquisition d'un minibus aménagé pour le transport des personnes handicapées;13842;17 147 €;8 000 €;Acquisition de véhicules adaptés
BRETAGNE;56;La  Roche-Bernard;"Association ""Loisirs temps libre""";Acquisition de dériveurs doubles autoredressables et insubmersibles;13766;15 000 €;3 000 €;Acquisition de matériels adaptés
BRETAGNE;56;Questembert;Commune de questembert;"Mise en accessibilité du complexe sportifs ""Les Buttes""";13723;127 220 €;25 000 €;Mise en accessibilité
BRETAGNE;56;Vannes;Comité Départemental Sport Adapté Morbihan;Acquisition d'un véhicule pour le sport adapté;13823;21 346 €;10 000 €;Acquisition de véhicules adaptés
CENTRE;41;Ouzouer-le-Marché;Communauté de Communes Beauce Oratorienne;Mise en accessibilité de la piscine;13872;212 474 €;26 000 €;Mise en accessibilité
CHAMPAGNE-ARDENNE;10;Nogent-sur-Seine;Neptune Club Nogentais;Acquisition d'une potence soulève personne et d'une rampe d'accès pour équiper un bateau ponton adapté;13729;"
8 258 €
";1 600 €;Acquisition de matériels adaptés
CHAMPAGNE-ARDENNE;10;Troyes;Comité Départemental Handisport de l'Aube;Acquisition d'un minibus aménagé pour le transport des personnes handicapées;13738;14 000 €;2 800 €;Acquisition de véhicules adaptés
CHAMPAGNE-ARDENNE;10;Troyes;Ville de Troyes;Acquisition d'un appareil de mise à l'eau pour la piscine des Chartreux;13770;9 469 €;1 800 €;Acquisition de matériels adaptés
CHAMPAGNE-ARDENNE;51;Reims;Reims Europe Club;Mise en accessibilité des vestiaires et des sanitaires;13776;28 965 €;5 700 €;Mise en accessibilité
ILE-DE-France;75;Paris;Association du tennis club du 16ème;Rénovation des cours de tennis;13449;1 055 000 €;20 000 €;Mise en accessibilité
ILE-DE-France;75;Paris;Fédération Française Handisport;Acquistion de deux véhicules de transport pour le Pôle France;13820;62 900 €;30 000 €;Acquisition de véhicules adaptés
ILE-DE-France;77;Bailly Romainvilliers;SAN Val d'Europe;Travaux de mise en accessibilité du complexe tennistique;13632;58 876 €;8 800 €;Mise en accessibilité
ILE-DE-France;92;Boulogne Billancourt;Commune de Boulogne Billancourt;Mise en accessibilité du complexe sportif Le Gallo;13801;850 000 €;160 000 €;Mise en accessibilité
ILE-DE-France;92;Meudon;Standard Athletic Club;Mise en accessibilité du complexe sportif du Meudon A.S Standard Athlétic Club ;13655;1 104 800 €;73 000 €;Mise en accessibilité
ILE-DE-France;93;Rosny-sous-Bois;Commune de Rosny-sous-Bois;Réhabilitation du centre nautique et sportif Claude Bernard;13302;9 186 662 €;11 000 €;Mise en accessibilité
ILE-DE-France;94;Orly;Commune d'Orly;Travaux de réhabilitation au stade de football Georges Meliès;13836;144 900 €;28 000 €;Mise en accessibilité
LANGUEDOC-ROUSSILLON;34;Montpellier;Montpellier Méditerranée Métropole;Travaux de mise en accessibilité de la piscine A.Nakache;13848;186 575 €;55 900 €;Mise en accessibilité
LANGUEDOC-ROUSSILLON;34;Montpellier;Montpellier Méditerranée Métropole;Travaux de mise en accessiblité de la piscine M.Spilliaert;13852;207 189 €;62 000 €;Mise en accessibilité
LANGUEDOC-ROUSSILLON;34;Montpellier;Montpellier Méditerranée Métropole;Mise en accessibilité de la piscine Pitot;13867;20 483 €;8 000 €;Mise en accessibilité
LORRAINE;88;Xertigny;Syndicat Intercommunal du secteur scolaire de Xertigny;Mise en accessibilité et réhabilitation du gymnase;13436;136 152 €;27 000 €;Mise en accessibilité
MIDI-PYRENEES;65;Laloubère;Commune de Laloubère;Mise en accessibilité du gymnase de Laloubère;13795;81 400 €;16 000 €;Mise en accessibilité
MIDI-PYRENEES;81;Castres;Commune de Castres;Réhabilitation du gymnase de la Savonnerie;13496;375 000 €;13 000 €;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Caudry;Commune de Caudry;Mise en accessibilité de la salle de sports Paul Bert;13789;23 727 €;11 000 €;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Caudry;Commune de Caudry;Mise en accessibilité du Palais des sports;13797;27 082 €;13 000 €;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Caudry;Commune de Caudry;Mise en accessibilité de la salle des sports Paul Sautière;13798;31 152 €;15 000 €;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Caudry;Commune de Caudry;Mise en accessilité de la salle des sports Coubertin;13800;27 929 €;13 000 €;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Caudry;Commune de Caudry;Mise en accessibilité de la salle des sports des Tullistes;13813;18 612 €;9 000 €;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Maubeuge;Commune de Maubeuge;Mise en accessibilité de la salle Pierre Louis Fresnel;13788;184 900 €;73 000 €;Mise en accessibilité
NORD-PAS-DE-CALAIS;62;Beuvry;Commune de Beuvry;Mise en accessibilité de la salle du dojo;13814;25 800 €;5 000 €;Mise en accessibilité
PAYS-DE-LA-LOIRE;85;Moutournais;Commune de Moutournais;Mise en accessibilité de la salle de sport de Moutournais;13661;11 588 €;4 600 €;Mise en accessibilité
POITOU-CHARENTES;79;Niort;ASN Basket Ball;Acquisition d'un minibus avec aménagement pour personnes handicapées;13718;80 254 €;15 000 €;Acquisition de véhicules adaptés
PROVENCE-ALPES-COTE-D'AZUR;5;Gap;Comité Départemental de Sport Adapté 05;Acquisition d’un minibus;13784;27 550 €;5 500 €;Acquisition de véhicules adaptés
PROVENCE-ALPES-COTE-D'AZUR;5;Gap;Association Art'Club Sport;Acquisition d’un module de gymnastique adapté;13786;12 210 €;2 400 €;Acquisition de matériels adaptés
RHONE-ALPES;69;Irigny;Commune d'Irigny;Mise en accessibilité du stade de football;13862;1 686 522 €;75 000 €;Mise en accessibilité
RHONE-ALPES;73;Chambéry;Comité Départemental Sport Adapté Savoie;Acquisition d'un véhicule pour le sport adapté;13588;34 377 €;6 800 €;Acquisition de véhicules adaptés
RHONE-ALPES;73;Chambéry;Comité Départemental Handisport Savoie;Acquisition d'un minibus équipé pour les personnes à mobilité réduite;13647;26 936 €;13 000 €;Acquisition de véhicules adaptés
WALLIS-ET-FUTUNA;986;Uvéa;Association Vakala;Acquisition de matériel destiné aux personnes à mobilité réduite;13876;9 153 €;9 000 €;Acquisition de matériels adaptés
PACA;06;Vallauris ;Commune de Vallauris-Golfe-Juan;Réfection d'un terrain de football synthétique du stade municipal suite aux intempéries du 3 au 4 octobre 2015;13917;;220 000 €;Rénovation des équipements sinistrés
PACA;06;Le Cannet;Commune du Cannet;Remise en état du gymnase Maillan suite aux intempéries du 3 au 4 octobre 2015;13919;;30 000 €;Rénovation des équipements sinistrés
PACA;06;Mandelieu-La Napoule;Commune de Mandelieu-La Napoule;Reconstruction  du Tennis-Club de l'Argentière détruit suite aux intempéries du 3 au 4 octobre 2015;13918;;16 000 €;Rénovation des équipements sinistrés
CORSE;2A;Pietrosella;Commune de Pietrosella;création d'une halle des sports;13812;4 900 000 €;792 439 €;Politique contractuelle
BRETAGNE;35;Dinard;Campus de l’Excellence sportive de Bretagne (GIP);Rénovation et mise aux normes d'accessibilité et sécurité du batiment Michelet;13875;931 386 €;180 000 €;Politique contractuelle
NOUVELLE CALEDONIE;988;NOUMEA;Commune de Nouméa;Pôle sportif du quartier de Montravel - Plateau multisports de proximité (phase 1);13878;264 022 €;97 688 €;Politique contractuelle
PAYS DE LA LOIRE;85;La Faute-sur-Mer;Commune de la Faute sur Mer;Construction d'un terrain de golf 9 trous;13641;1 555 000 €;310 000 €;Politique contractuelle
NORD-PAS-DE-CALAIS;59;Villeneuve-d'Ascq;Métropole Européenne de Lille;Rénovation lourde du complexe annexe du Stadium de Villeneuve d'Ascq;13756;3 000 000 €;600 000 €;Politique contractuelle
