Region;Dep;Commune;Porteur_projet;annee_sub;Projet;n°SES;Montant_op;Montant_acc;Objectifs
BRETAGNE;56;Vannes;Comité Départemental Sport Adapté Morbihan;2015;Acquisition d'un véhicule pour le sport adapté;13823;21346;10000;Acquisition de véhicules adaptés
CENTRE;41;Ouzouer-le-Marché;Communauté de Communes Beauce Oratorienne;2015;Mise en accessibilité de la piscine;13872;212474;26000;Mise en accessibilité
CHAMPAGNE-ARDENNE;10;Nogent-sur-Seine;Neptune Club Nogentais;2015;Acquisition d'une potence soulève personne et d'une rampe d'accès pour équiper un bateau ponton adapté;13729;0;1600;Acquisition de matériels adaptés
CHAMPAGNE-ARDENNE;10;Troyes;Comité Départemental Handisport de l'Aube;2015;Acquisition d'un minibus aménagé pour le transport des personnes handicapées;13738;14000;2800;Acquisition de véhicules adaptés
CHAMPAGNE-ARDENNE;10;Troyes;Ville de Troyes;2015;Acquisition d'un appareil de mise à l'eau pour la piscine des Chartreux;13770;9469;1800;Acquisition de matériels adaptés
CHAMPAGNE-ARDENNE;51;Reims;Reims Europe Club;2015;Mise en accessibilité des vestiaires et des sanitaires;13776;28965;5700;Mise en accessibilité
ILE-DE-France;75;Paris;Association du tennis club du 16ème;2015;Rénovation des cours de tennis;13449;1055000;20000;Mise en accessibilité
ILE-DE-France;75;Paris;Fédération Française Handisport;2015;Acquistion de deux véhicules de transport pour le Pôle France;13820;62900;30000;Acquisition de véhicules adaptés
ILE-DE-France;77;Bailly Romainvilliers;SAN Val d'Europe;2015;Travaux de mise en accessibilité du complexe tennistique;13632;58876;8800;Mise en accessibilité
ILE-DE-France;92;Boulogne Billancourt;Commune de Boulogne Billancourt;2015;Mise en accessibilité du complexe sportif Le Gallo;13801;850000;160000;Mise en accessibilité
ILE-DE-France;92;Meudon;Standard Athletic Club;2015;Mise en accessibilité du complexe sportif du Meudon A.S Standard Athlétic Club ;13655;1104800;73000;Mise en accessibilité
ILE-DE-France;93;Rosny-sous-Bois;Commune de Rosny-sous-Bois;2015;Réhabilitation du centre nautique et sportif Claude Bernard;13302;9186662;11000;Mise en accessibilité
ILE-DE-France;94;Orly;Commune d'Orly;2015;Travaux de réhabilitation au stade de football Georges Meliès;13836;144900;28000;Mise en accessibilité
LANGUEDOC-ROUSSILLON;34;Montpellier;Montpellier Méditerranée Métropole;2015;Travaux de mise en accessibilité de la piscine A.Nakache;13848;186575;55900;Mise en accessibilité
LANGUEDOC-ROUSSILLON;34;Montpellier;Montpellier Méditerranée Métropole;2015;Travaux de mise en accessiblité de la piscine M.Spilliaert;13852;207189;62000;Mise en accessibilité
LANGUEDOC-ROUSSILLON;34;Montpellier;Montpellier Méditerranée Métropole;2015;Mise en accessibilité de la piscine Pitot;13867;20483;8000;Mise en accessibilité
LORRAINE;88;Xertigny;Syndicat Intercommunal du secteur scolaire de Xertigny;2015;Mise en accessibilité et réhabilitation du gymnase;13436;136152;27000;Mise en accessibilité
MIDI-PYRENEES;65;Laloubère;Commune de Laloubère;2015;Mise en accessibilité du gymnase de Laloubère;13795;81400;16000;Mise en accessibilité
MIDI-PYRENEES;81;Castres;Commune de Castres;2015;Réhabilitation du gymnase de la Savonnerie;13496;375000;13000;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Caudry;Commune de Caudry;2015;Mise en accessibilité de la salle de sports Paul Bert;13789;23727;11000;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Caudry;Commune de Caudry;2015;Mise en accessibilité du Palais des sports;13797;27082;13000;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Caudry;Commune de Caudry;2015;Mise en accessibilité de la salle des sports Paul Sautière;13798;31152;15000;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Caudry;Commune de Caudry;2015;Mise en accessilité de la salle des sports Coubertin;13800;27929;13000;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Caudry;Commune de Caudry;2015;Mise en accessibilité de la salle des sports des Tullistes;13813;18612;9000;Mise en accessibilité
NORD-PAS-DE-CALAIS;59;Maubeuge;Commune de Maubeuge;2015;Mise en accessibilité de la salle Pierre Louis Fresnel;13788;184900;73000;Mise en accessibilité
NORD-PAS-DE-CALAIS;62;Beuvry;Commune de Beuvry;2015;Mise en accessibilité de la salle du dojo;13814;25800;5000;Mise en accessibilité
PAYS-DE-LA-LOIRE;85;Moutournais;Commune de Moutournais;2015;Mise en accessibilité de la salle de sport de Moutournais;13661;11588;4600;Mise en accessibilité
POITOU-CHARENTES;79;Niort;ASN Basket Ball;2015;Acquisition d'un minibus avec aménagement pour personnes handicapées;13718;80254;15000;Acquisition de véhicules adaptés
PROVENCE-ALPES-COTE-D'AZUR;5;Gap;Comité Départemental de Sport Adapté 05;2015;Acquisition dun minibus;13784;27550;5500;Acquisition de véhicules adaptés
PROVENCE-ALPES-COTE-D'AZUR;5;Gap;Association Art'Club Sport;2015;Acquisition dun module de gymnastique adapté;13786;12210;2400;Acquisition de matériels adaptés
